Date,Open,High,Low,Close,Vol.
2013-07-08,76.5,80,72.5,76,58.99K
2013-07-09,76,78.3,72.5,76.7,32.52K
2013-07-10,76.7,89.8,75.5,88,60.07K
2013-07-11,88,90.7,85,89,35.57K
2013-07-12,89,104.2,88,94,101.55K
2013-07-13,94,98.3,87.8,98.3,34.46K
2013-07-14,98.3,99,92.9,94.4,12.34K
2013-07-15,94.4,101.9,93.1,98.9,34.51K
2013-07-16,98.9,100.7,96,97.1,16.53K
2013-07-17,97.1,100,96.2,98.5,17.27K
2013-07-18,98.5,98.8,86.2,90.1,59.50K
2013-07-19,90.1,95.2,87.6,92,27.68K
2013-07-20,92,93.1,89.3,89.8,9.43K
2013-07-21,89.8,92,88,92,8.77K
2013-07-22,92,92,89.8,91.6,9.10K
2013-07-23,91.6,97.1,91.6,95.6,24.61K
2013-07-24,95.6,96,92.3,95.1,14.60K
2013-07-25,95.1,97.5,93.6,96.9,22.51K
2013-07-26,96.9,97.5,96,96,11.15K
2013-07-27,96,97,93,94.4,15.12K
2013-07-28,94.4,100.6,94,98.8,42.23K
2013-07-29,98.8,102.8,98.4,101.5,24.74K
2013-07-30,101.5,108,100.5,108,27.85K
2013-07-31,108,111.7,103.6,106.2,45.50K
2013-08-01,106.2,108,103,104,15.02K
2013-08-02,104,108,101.2,104.5,27.50K
2013-08-03,104.5,105.9,102,104.9,8.90K
2013-08-04,104.9,106,103.5,105.1,6.38K
2013-08-05,105.1,107.8,105,106.7,15.44K
2013-08-06,106.7,107.5,105.1,106.6,13.41K
2013-08-07,106.6,107,105.2,106,7.72K
2013-08-08,106,106.7,101,103.1,24.02K
2013-08-09,103.1,105.8,101.9,102.8,12.04K
2013-08-10,102.8,103.9,102.4,103,4.00K
2013-08-11,103,105.2,102.7,105,8.17K
2013-08-12,105,108.1,103.5,106.8,20.08K
2013-08-13,106.8,109.6,104.5,109.6,18.75K
2013-08-14,109.6,115,108,112.6,50.57K
2013-08-15,112.6,113.3,108.8,110,15.86K
2013-08-16,110,112.3,108.2,109,13.54K
2013-08-17,109,114,108.2,112.8,12.78K
2013-08-18,112.8,114.7,112,113.4,9.62K
2013-08-19,113.4,123.8,111.8,118.5,53.07K
2013-08-20,118.5,123,116.8,121.2,24.29K
2013-08-21,121.2,125,119.7,123.3,30.64K
2013-08-22,123.3,124.5,120.5,122,13.96K
2013-08-23,122,122,118.4,118.5,19.47K
2013-08-24,118.5,121.4,118,119.6,8.96K
2013-08-25,119.6,123,119.1,122.1,7.44K
2013-08-26,122.1,123,119.9,120.1,11.44K
2013-08-27,120.1,133,120,131.3,53.85K
2013-08-28,131.3,131.7,128,128.8,12.56K
2013-08-29,128.8,131.2,128.2,129.3,8.22K
2013-08-30,129.3,142.8,128.6,138,46.07K
2013-08-31,138,148.7,135.9,141,31.15K
2013-09-01,141,147.3,141,146,14.10K
2013-09-02,146,148.5,142.1,144,10.65K
2013-09-03,144,148.9,142.2,144,17.00K
2013-09-04,144,145.8,130.1,132.5,28.75K
2013-09-05,132.5,138,127.2,130.2,27.03K
2013-09-06,130.2,134,121.9,121.9,19.17K
2013-09-07,121.9,131,121.3,129,14.19K
